keyword,frequency
ドラえもん,2
フジテレビ,2
主題歌,2
TBS,2
ドラマ,3
Stray Kids,2
SKZ,2
ストレイキッズ,2
スキズ,2
스트레이키즈,2
스키즈,2
k-pop,2
ゲーム,8
マインクラフト,4
加藤純一,2
うんこちゃん,2
ニコニコ,2
実況,4
プロゲーマー,2
ムラッシュゲーミング,2
MURASH GAMING,2
舞元啓介,2
にじさんじ,3
nijisanji,3
Vtuber,2
anime,2
アニメ,3
japan,3
切り抜き,2
雑談,2
game,2
はじめしゃちょー,2
japanese,2
ポケモン,2
ポケットモンスター,2
ポケモン剣盾,2
ポケモンSV,2
Minecraft,3
マイクラ,3
関西,2
ジャニーズ,2
ダンス,2
バトル,2
なにわ男子,2
music,2
dance,2
セイキン,2
seikin,2
YouTuber,2
ユーチューバー,2
UUUM,2
ウーム,2
お金,2
大量,2
ヒカキン,2
ひかきん,2
サプライズ,2
ドッキリ,2
K-POP,2
YouTube,2
商品紹介,2
動画,2
筋トレ,3
筋肉,3
減量,2
ダイエット,3
痩せる,2
プロテイン,3
腹筋,2
トレーニング,2
フィジーク,2
マッチョ,2
お笑い,3
Youtuber,2
葛葉,2
フィッシャーズ,2
Japan,2
