,0,channelTitle,publishedAt,channelId,title,tags,viewCount,likeCount
0,HYzyRHAHJl8,HYBE LABELS,2023-08-09T15:00:01Z,UC3IZKseVpdzPSBaWxBxundA,V 'Love Me Again' Official MV,"['HYBE', 'HYBE LABELS', '하이브', '하이브레이블즈', '정국', 'Jung Kook', 'Seven']",11594138,2678469
1,qo55wGLXcOQ,Official髭男dism,2023-08-09T12:00:08Z,UC9M4B-fqveLyWPGNdSkam7g,Official髭男dism - Chessboard [Official Video],"['SPY×FAMILY', 'ミックスナッツ', '髭男', '髭男dism', 'ひげだん', 'ヒゲダン', '髭ダン', 'アイラブ', 'ilove', 'ユニバース', 'universe', 'クライベイビー', 'crybaby', 'リベンジャーズ', 'ドラえもん', '東リベ', 'アポトーシス', 'apoptosis', 'editorial', 'エディトリアル', 'ハロー', 'HELLO', 'Laughter', 'ラフター', 'パラボラ', 'コンフィデンスマン', 'アルバム', 'AL', 'ALBUM', 'ペンディング', 'pennding', 'ペンディングマシーン', 'コンフィデンスマンJP英雄編', 'コンフィデンスマンJP', '英雄編', 'anarchy', 'アナーキー', 'のび太の宇宙小戦争2021', 'ライブ映像', 'ツアー', 'スパイファミリー', 'mixednuts', '映画', '異動辞令は音楽隊', '警察音楽隊', 'silent', '木曜劇場', 'フジテレビ', 'subtitle', '主題歌', '聖夜決戦', 'ペンディングトレイン', 'TBS', 'ドラマ', 'Nコン']",317447,22334
2,hV8PSY7s7VQ,Stray Kids Japan Official YouTube,2023-08-09T15:00:10Z,UCXhj2pPWvONXmvgHX5wllCA,Stray Kids 『Super Bowl -Japanese ver.-』 Music Video,"['Stray Kids', 'SKZ', 'ストレイキッズ', 'スキズ', '스트레이키즈', '스키즈', 'k-pop']",1422089,353700
3,M57tuoiYCwI,まいぜんシスターズ,2023-08-09T08:47:18Z,UCM3yhFc0-fBFuvqx1Vg2YNQ,人喰い人面鳥 vs. セキュリティハウス【まいくら・マインクラフト】,"['ゲーム', 'マインクラフト', 'まいぜん', 'マイッキー', 'ぜんいち', 'まいぜんシスターズ', 'エンターテインメント', 'まいくら']",400329,6276
4,Cn0Em0hxfFg,ジャにのちゃんねる,2023-08-09T10:00:15Z,UC2alHD2WkakOiTxCxF-uMAg,#261【後編!!】経理にサプライズをしたら卍がこうなった日,,899423,
5,UGUZk3uSKHQ,jun channel,2023-08-09T17:12:13Z,UCx1nAvtVDIsaGmCMSe8ofsQ,FIFA23 W杯日本代表、本当に本当の優勝放送,"['加藤純一', 'うんこちゃん', 'ニコニコ', '実況', 'ゲーム', 'プロゲーマー', 'ムラッシュゲーミング', 'MURASH GAMING']",719449,4372
6,-7t6wYJo2SM,舞元啓介,2023-08-08T15:06:20Z,UCJubINhCcFXlsBwnHp0wl_g,【#にじ甲2023】熱狂！にじさんじ甲子園2023 最終回SP【にじさんじ/舞元啓介】,"['舞元啓介', 'まいもとけいすけ', 'maimotokeisuke', 'にじさんじ', 'nijisanji', 'Vtuber', 'anime', 'アニメ', 'japan', '切り抜き', '雑談', 'game', 'ゲーム', '実況', '舞元力一']",617722,12395
7,0ovIUFQje-U,jun channel,2023-08-08T14:30:54Z,UCx1nAvtVDIsaGmCMSe8ofsQ,PUBG配信者No1決定戦,"['加藤純一', 'うんこちゃん', 'ニコニコ', '実況', 'ゲーム', 'プロゲーマー', 'ムラッシュゲーミング', 'MURASH GAMING']",829021,7469
8,eMaWBB_e-uA,はじめしゃちょー（hajime）,2023-08-08T12:43:28Z,UCgMPP6RRjktV7krOfyUewqw,ヒカキンさん20億円の豪邸、ヴァンビくん登録者1000万人突破を聞いて思った事。,"['hajime', 'はじめしゃちょー', 'funny', 'crazy', 'japanese', 'はじめ']",1571668,42475
9,67FlumF48hs,ガンダムチャンネル,2023-08-07T20:00:02Z,UC7wu64jFsV02bbu6UHUd7JA,劇場版『機動戦士ガンダムSEED FREEDOM』第2弾PV,"['#SEEDFREEDOM', '#SEED', '#SEEDDESTINY', '#ガンダムSEED', '#機動戦士ガンダム', '#ガンダム', '#ガンチャン']",1349436,13236
